Account,total_pnl,avg_pnl,trade_count,avg_size,category
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.82,419.1278,3818,16159.5767,Top 20%
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.3205,6.5777,7280,1653.2263,20-40%
0x271b280974205ca63b716753467d5a371de622ab,-70436.1913,-18.492,3809,8893.0009,Bottom 20%
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.8146,9.9515,13311,507.6269,40-60%
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.005,52.071,3239,3138.8948,40-60%
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.6,-38.2866,815,1729.9411,Bottom 20%
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.9193,4.0281,3589,4790.5755,Bottom 20%
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.2472,161.1333,332,3445.4713,20-40%
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.5927,520.9023,383,5189.3671,60-80%
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.8723,336.7355,1237,2397.8248,60-80%
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.7162,12.131,8519,517.5289,40-60%
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.0506,155.5893,4356,9084.6991,Top 20%
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.8697,40.7405,7584,17098.1711,60-80%
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.5552,68.6844,12236,34396.5803,Top 20%
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.2168,111.5192,975,746.7257,40-60%
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.5659,270.0349,1590,7216.6672,Top 20%
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.51,253.1879,1424,2080.3901,60-80%
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.4067,38.3196,9893,2600.778,60-80%
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443,9.5577,1559,3748.8675,Bottom 20%
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.1248,-36.4315,4601,2204.6855,Bottom 20%
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.6579,34.2824,1911,6279.0023,20-40%
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.009,2.9282,14998,820.4285,20-40%
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.9421,41.4741,3052,3601.6893,40-60%
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.8753,6.8121,15605,1273.195,40-60%
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.4843,174.6918,417,2066.6892,20-40%
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.6195,120.5073,563,2979.4418,20-40%
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.8318,40.7469,534,8330.1934,Bottom 20%
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.5977,145.4817,14733,3837.8854,Top 20%
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.5008,4.6483,4838,22504.5558,Bottom 20%
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.8062,44.3641,21192,3210.4728,Top 20%
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.0619,83.4983,2641,7852.0983,60-80%
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.5531,20.8063,40184,1844.2119,Top 20%
